Id,SalePrice
1461,121756.7946
1462,162237.9587
1463,186855.2233
1464,202075.2096
1465,191151.5052
1466,164478.9218
1467,173450.6439
1468,161041.0634
1469,196348.4755
1470,119700.7003
1471,186926.385
1472,96091.90286
1473,95304.32813
1474,142864.6433
1475,114031.082
1476,351011.8508
1477,242784.8087
1478,296783.2036
1479,281989.4592
1480,477558.5104
1481,323688.4443
1482,204957.7644
1483,183455.1409
1484,159783.9066
1485,186157.2781
1486,191163.9645
1487,343880.8522
1488,238259.6688
1489,198630.2557
1490,253572.9027
1491,194657.9058
1492,95117.87051
1493,185248.2692
1494,275410.9694
1495,269307.0768
1496,241750.1423
1497,179536.5379
1498,172887.374
1499,162435.4924
1500,157819.4191
1501,170411.1656
1502,134679.3557
1503,302757.2056
1504,239985.573
1505,230081.8803
1506,190441.4633
1507,245894.7832
1508,201350.3904
1509,164089.522
1510,144872.4301
1511,147096.594
1512,174167.4079
1513,149538.1452
1514,161789.944
1515,193346.8589
1516,149669.6787
1517,169604.96
1518,129781.4249
1519,209722.3813
1520,127039.8685
1521,131298.0073
1522,174012.8561
1523,116284.6506
1524,123222.613
1525,124338.4396
1526,114173.9796
1527,107557.4257
1528,133615.1407
1529,152152.3198
1530,191488.3853
1531,109859.058
1532,90271.46742
1533,152863.4311
1534,122442.6663
1535,147833.1195
1536,110309.7623
1537,59815.79199
1538,154717.2363
1539,196781.5809
1540,93265.33215
1541,138804.697
1542,144178.3434
1543,194620.7705
1544,86300.76101
1545,121553.5965
1546,129464.8516
1547,131841.4993
1548,141232.7275
1549,115846.6523
1550,134848.7204
1551,100988.3281
1552,146300.6963
1553,137954.9693
1554,117383.1265
1555,165944.9125
1556,82652.08783
1557,108927.989
1558,97297.75933
1559,59889.32417
1560,130762.3246
1561,127658.7842
1562,129439.9644
1563,119076.619
1564,159685.9771
1565,144442.1952
1566,245146.6668
1567,79556.7537
1568,229574.1174
1569,133479.5143
1570,134817.959
1571,113366.3626
1572,140809.2479
1573,241928.2383
1574,122018.9728
1575,239978.754
1576,216628.1603
1577,179055.4058
1578,141785.368
1579,150014.4926
1580,193099.3973
1581,152257.8281
1582,128027.253
1583,301223.0475
1584,216062.6058
1585,134808.5571
1586,69154.57978
1587,108911.8103
1588,158122.6114
1589,98158.35824
1590,132228.9127
1591,91842.6149
1592,108519.8921
1593,119795.2964
1594,147820.3903
1595,102903.8535
1596,234281.4489
1597,201789.9411
1598,213838.1785
1599,173804.404
1600,160888.2596
1601,67032.08961
1602,116649.1426
1603,66030.27037
1604,244690.7988
1605,231694.6855
1606,171378.887
1607,163611.6673
1608,210431.3168
1609,181665.6901
1610,154040.6365
1611,135419.6766
1612,175334.5131
1613,170058.5474
1614,129943.4188
1615,91352.53302
1616,76411.70039
1617,92420.29725
1618,130518.6855
1619,136090.1567
1620,158884.2125
1621,133573.5149
1622,141163.4083
1623,249650.6121
1624,198243.6069
1625,113569.5023
1626,166567.5881
1627,193395.0772
1628,281802.8904
1629,183379.1716
1630,412415.5341
1631,229897.5949
1632,250578.9651
1633,169797.6579
1634,186356.1363
1635,171631.1451
1636,148351.2492
1637,209211.9454
1638,184837.2847
1639,187696.1576
1640,256478.0167
1641,174908.7174
1642,238112.5195
1643,221577.2033
1644,232961.1571
1645,222462.8269
1646,159377.1153
1647,157832.3963
